"sku","product_type","attribute_set_code","flavor_name","name","brand","manufacturer","trademark_owner","type_of_product","smart_cat","format","pouches_can","piece_box","net_weight_g","portionsize","weight_per_piece_g","net_weight_oz","coreflavor","flavor","is_unflavored","mixpack","multiplack","type_of_nicotine","nicotinemg","nicotine_mg_pouch","nicotine_mg_tablet","nicotine_mg_lozenge","nicotine_mg_gum","nicotine_mg_bit_or_plug","nicotine_mg_cotton_ball","country_of_manufacture","short_description","description","moisture","nicotine_strength","nikotinstyrka","unit","units_per_sku","contains_tobacco","contains_nicotine","ingredient_list","product_characteristics","product_websites","calculated_US_dots_pouch","Strength_w_suffix","base_image","small_image","thumbnail_image","GTIN","insights_name","Allow_Alabama_Sales","Allow_California_Sales","bundle_values","bundle_weight_type","shortname"
"ALP-MIX3MG","Bundle","Nicotine Pouches, Synthetic","ALP Mixpack 3mg TEST","ALP Mixpack 3mg","ALP","AVB International","ALP Supply Co","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.353","Mixed","Mint,Wintergreen,Tropical Fruit,Sweet","No","Yes","No","Synthetic Nicotine","6.0","3.0","","","","","","","Try all ALP 3mg flavors with one of our Northerner mixpacks!","<h2>Included in the Mixpack:</h2><ul><li><strong>1x</strong> ALP Refreshing Chill 3mg</li><li><strong>1x</strong> ALP Mountain Wintergreen 3mg</li><li><strong>1x</strong> ALP Chilled Mint 3mg</li><li><strong>1x</strong> ALP Sweet Nectar 3mg</li><li><strong>1x</strong> ALP Tropical Fruit 3mg</li></ul><h2>Discover ALP 3mg Mixpack</h2><p>Sample the full range of ALP's 3mg nicotine pouches with this mixpack, which includes five different cans—each representing one of the available flavors. Whether you lean toward mint varieties or prefer fruity options, this pack provides a selection to explore.</p><p>Each pouch delivers 3mg of nicotine, a less intense strength level. The pouches are moist, tobacco-free, and contain synthetic nicotine. Each can includes 20 pouches.</p>","","Normal","","Pack","","No","Yes","","","Northerner US,Nicokick US","1","3.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/82/76/df/69/69df768275818b496046425f/ALP-MIX3MG-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/82/76/df/69/69df768275818b496046425f/ALP-MIX3MG-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/82/76/df/69/69df768275818b496046425f/ALP-MIX3MG-01.png?s=1200x","","","","","ALP-CM3MG#1, ALP-MW3MG#1, ALP-TF3MG#1, ALP-RC3MG#1, ALP-SN3MG#1","Dynamic","ALP Mixpack 3mg"
"ALP-MIX6MG","Bundle","Nicotine Pouches, Synthetic","ALP Mixpack 6mg","ALP Mixpack 6mg","ALP","AVB International","ALP Supply Co","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.353","Mixed","Mint,Wintergreen,Tropical Fruit,Sweet","No","Yes","No","Synthetic Nicotine","12.0","6.0","","","","","","","Try all ALP 6mg flavors with one of our Northerner ALP mixpacks!","<h2>Included in the Mixpack:</h2><ul><li><strong>1x</strong> ALP Refreshing Chill 6mg</li><li><strong>1x</strong> ALP Mountain Wintergreen 6mg</li><li><strong>1x</strong> ALP Chilled Mint 6mg</li><li><strong>1x</strong> ALP Sweet Nectar 6mg</li><li><strong>1x</strong> ALP Tropical Fruit 6mg</li></ul><h2>Discover ALP 6mg Mixpack</h2><p>Discover five different ALP pouch flavors in one pack with the 6mg Mixpack. This set includes one can of each flavor—giving you the option to switch between mint-forward profiles and fruity alternatives based on what you’re in the mood for.</p><p>Each pouch contains 6mg of nicotine, which falls into the regular strength category. The pouches are moist, made without tobacco, and use synthetic nicotine. Each can includes 20 pouches.</p>","","Strong","","Pack","","No","Yes","","","Northerner US,Nicokick US","2","6.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/69/76/df/69/69df766941a6542844f248a9/ALP-MIX6MG-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/69/76/df/69/69df766941a6542844f248a9/ALP-MIX6MG-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/69/76/df/69/69df766941a6542844f248a9/ALP-MIX6MG-01.png?s=1200x","","","","","ALP-CM6MG#1, ALP-MW6MG#1, ALP-TF6MG#1, ALP-RC6MG#1, ALP-SN6MG#1","Dynamic","ALP Mixpack 6mg"
"ALP-MIX9MG","Bundle","Nicotine Pouches, Synthetic","ALP Mixpack 9mg","ALP Mixpack 9mg","ALP","AVB International","ALP Supply Co","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.353","Mixed","Mint,Wintergreen,Tropical Fruit,Sweet","No","Yes","No","Synthetic Nicotine","18.0","9.0","","","","","","","Try all ALP 9mg flavors with one of our Northerner mixpacks!","<h2>Included in the Mixpack:</h2><ul><li><strong>1x</strong> ALP Refreshing Chill 9mg</li><li><strong>1x</strong> ALP Mountain Wintergreen 9mg</li><li><strong>1x</strong> ALP Chilled Mint 9mg</li><li><strong>1x</strong> ALP Sweet Nectar 9mg</li><li><strong>1x</strong> ALP Tropical Fruit 9mg</li></ul><h2>Discover ALP 9mg Mixpack</h2><p>Get a full lineup of ALP's 9mg nicotine pouches in one convenient pack. This mix includes five cans, each featuring a different flavor—ideal for users who want a range of options to choose from.</p><p>Each pouch contains 9mg of nicotine, making it a strong nicotine strength. The pouches are moist, tobacco-free, and made with synthetic nicotine. Each can includes 20 pouches.</p>","","Strong","","Pack","","No","Yes","","","Northerner US,Nicokick US","3","9.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/4e/76/df/69/69df764e9c4cdacfd6204299/ALP-MIX9MG-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/4e/76/df/69/69df764e9c4cdacfd6204299/ALP-MIX9MG-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/4e/76/df/69/69df764e9c4cdacfd6204299/ALP-MIX9MG-01.png?s=1200x","","","","","ALP-CM9MG#1, ALP-MW9MG#1, ALP-TF9MG#1, ALP-RC9MG#1, ALP-SN9MG#1","Dynamic","ALP Mixpack 9mg"
"better-together-duo","Bundle","Nicotine Pouches, Synthetic","Better Together","Better Together Multipack","Mixed","","","All White Portion","All White Portion","Slim","20","","","","","","Mint","Spearmint","No","Yes","No","Synthetic Nicotine","","6.0","","","","","","","","","","Normal","","Pack","","No","Yes","","","Northerner US","2","6.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/ac/6c/df/69/69df6cac9c4cdacfd6204081/better-together-840.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/ac/6c/df/69/69df6cac9c4cdacfd6204081/better-together-840.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/ac/6c/df/69/69df6cac9c4cdacfd6204081/better-together-840.png?s=1200x","","","","","KSD-294280#1, Z-P1018B#1","Dynamic","Better Together Multipack"
"CLEW-12mixpack","Bundle","Nicotine Pouches, Synthetic","CLEW 12mg Mixpack","CLEW 12mg Mixpack","CLEW","Nevcore Innovations Inc.","Novanic Labs Private Limited","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.35","Mixed","Wintergreen,Spearmint,Mint,Citrus,Blueberry","No","Yes","No","Synthetic Nicotine","24.0","12.0","","","","","","","Try 5 different CLEW pouches in this Extra Strong (12mg) mixpack featuring a can of each flavor: Spearmint, Wintergreen, Cool Mint, Citrus, and Blueberry.","<h2>Discover the CLEW 12mg Mixpack</h2><p>New to CLEW or just prefer a variety of nicotine pouches at your fingertips?</p><p>Now you can sample their entire range of 5 flavors in one easy order (excluding CLEW’s unflavored Original option). Every can has 20 moist pouches inside, and each pouch contains 12mg of tobacco leaf-free nicotine.</p><p>Adult nicotine consumers who are fans of mint and fruit will appreciate CLEW’s lineup. Keep in mind this mixpack is also available in 9mg, 6mg, and 3mg strengths if you’re looking for less milligrams per pouch.</p><h3>This mixpack contains:</h3><ul><li>1 x Spearmint 12mg</li><li>1 x Wintergreen 12mg</li><li>1 x Cool Mint 12mg</li><li>1 x Citrus 12mg</li><li>1 x Blueberry 12mg</li></ul><h2>About CLEW</h2><p><a href=""https://www.northerner.com/us/clew"">CLEW</a> is brought to you by Nevcore Innovations Inc. and intended for adult nicotine consumers over the age of 21 who want smokeless alternatives made from high quality ingredients. Available in an assortment of tobacco leaf-free flavors and strengths (from 3mg-12mg), CLEW caters to a wide range of preferences and is known for their ultra-smooth pouch design.</p>","","Extra Strong","","Pack","","No","Yes","","","Northerner US,Nicokick US","4","12.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/ca/76/ba/69/69ba76ca36b4a3123424d212/CLEW-12mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/ca/76/ba/69/69ba76ca36b4a3123424d212/CLEW-12mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/ca/76/ba/69/69ba76ca36b4a3123424d212/CLEW-12mg-mixpack-01.png?s=1200x","","","","","CLEW-W12MG#1, CLEW-S12MG#1, CLEW-CM12MG#1, CLEW-C12MG#1, CLEW-B12MG#1","Dynamic","CLEW 12mg Mixpack"
"CLEW-3mixpack","Bundle","Nicotine Pouches, Synthetic","CLEW 3mg Mixpack","CLEW 3mg Mixpack","CLEW","Nevcore Innovations Inc.","Novanic Labs Private Limited","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.35","Mixed","Wintergreen,Spearmint,Mint,Citrus,Blueberry","No","Yes","No","Synthetic Nicotine","6.0","3.0","","","","","","","Try 5 different CLEW pouches in this Less Intense (3mg) mixpack featuring a can of each flavor: Spearmint, Wintergreen, Cool Mint, Citrus, and Blueberry.","<h2>Discover the CLEW 3mg Mixpack</h2><p>New to CLEW or just prefer a variety of nicotine pouches at your fingertips?</p><p>Now you can sample their entire range of 5 flavors in one easy order (excluding CLEW’s unflavored Original option). Every can has 20 moist pouches inside, and each pouch contains 3mg of tobacco leaf-free nicotine.</p><p>Adult nicotine consumers who are fans of mint and fruit will appreciate CLEW’s lineup. Keep in mind this mixpack is also available in 6mg, 9mg, or 12mg strengths if you’re looking for more milligrams per pouch.</p><h3>This mixpack contains:</h3><ul><li>1 x Spearmint 3mg</li><li>1 x Wintergreen 3mg</li><li>1 x Cool Mint 3mg</li><li>1 x Citrus 3mg</li><li>1 x Blueberry 3mg</li></ul><h2>About CLEW</h2><p><a href=""https://www.northerner.com/us/clew"">CLEW</a> is brought to you by Nevcore Innovations Inc. and intended for adult nicotine consumers over the age of 21 who want smokeless alternatives made from high quality ingredients. Available in an assortment of tobacco leaf-free flavors and strengths (from 3mg-12mg), CLEW caters to a wide range of preferences and is known for their ultra-smooth pouch design.</p>","","Normal","","Pack","","No","Yes","","","Northerner US,Nicokick US","1","3.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/e4/76/ba/69/69ba76e403a8458e3a9aa2ac/CLEW-3mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/e4/76/ba/69/69ba76e403a8458e3a9aa2ac/CLEW-3mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/e4/76/ba/69/69ba76e403a8458e3a9aa2ac/CLEW-3mg-mixpack-01.png?s=1200x","","","","","CLEW-W3MG#1, CLEW-S3MG#1, CLEW-CM3MG#1, CLEW-C3MG#1, CLEW-B3MG#1","Dynamic","CLEW 3mg Mixpack"
"FRE-mp9mg","Bundle","Nicotine Pouches, Synthetic","FRE 9MG Mixpack","FRE 9MG Mixpack","FRE","Nu-X Ventures","Turning Point Brands","All White Portion","All White Portion","Slim","20","","9.98","0.50","","0.352","Mixed","Mint,Tropical Fruit,Watermelon,Wild Berries,Flavor Free,Wintergreen","No","Yes","No","Synthetic Nicotine","18.0","9.0","","","","","","","Try a range of popular FRE 9mg nicotine pouches.","<h2>About the FRE 9mg</h2><p>FRE 9mg pouches are nicotine pouches that are smoke-free, spit-free and made with synthetic nicotine (so there is no tobacco leaf or derivative in any FRE nicotine pouches). FRE pouches allow you to FRE yourself from compromise - their range are made to be fast acting and long-lasting, fitting into your life as they are easy wherever you are. Try a FRE 9mg mixpack with 4 popular FRE flavors.</p><h3>FRE 9mg Mixpack Contents</h3><ul><li>FRE Wintergreen 9mg</li><li>FRE Lush 9mg</li><li>FRE Mint 9mg</li><li>FRE Sweet 9mg</li></ul><h3>An Overview of FRE 9mg</h3><ul><li><strong>Flavors:</strong> Wintergreen, Fruit, Mint, Unflavored</li><li><strong>Nicotine Strength:</strong> 9mg/pouch</li><li><strong>Number of Pouches per FRE Can:</strong> 20</li><li><strong>Number of FRE Cans Per Mixpack:</strong> 4</li><li><strong>Pouch Size:</strong> Slim</li><li><strong>Pouch Feel:</strong> Semi-moist with pre-primed technology</li><li><strong>Manufacturer:</strong> Turning Point Brands</li></ul><h2>Step-By-Step: Using FRE 9mg Nicotine Pouches</h2><p>It is important that you use any nicotine pouches properly, including FRE 9mg nicotine pouches. Follow these 4 steps to get underway with your FRE pouches:</p><ol><li>Put one of the FRE nicotine pouches into your mouth</li><li>Park the pouch under your upper or lower lip, between the lip and gum</li><li>Leave it in place for around 30 mins</li><li>Take out your used pouch and throw it in the trash</li></ol><h2>About FRE Nicotine Pouches</h2><p><a href=""https://www.northerner.com/us/fre"">FRE nicotine pouches</a> are a range of high impact nicotine products that are smoke-free, spit-free and made with new Pre-Primed technology. FRE products are available in a variety of flavors and nicotine strengths, including Wintergreen, Mint, Sweet and Lush available in nicotine strengths from 3mg-15mg per pouch. Browse the full range of FRE pouches and order FRE on Northerner for fast shipping!</p>","","Strong","","Pack","","No","Yes","","","Northerner US,Nicokick US","3","9.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/1c/73/ba/69/69ba731c4bc2191b73fe79bf/FRE%209MG%20Mixpack.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/1c/73/ba/69/69ba731c4bc2191b73fe79bf/FRE%209MG%20Mixpack.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/1c/73/ba/69/69ba731c4bc2191b73fe79bf/FRE%209MG%20Mixpack.png?s=1200x","","","No","No","FRE-16564#1, FRE-159123#1, FRE-159122#1, FRE-159124#1","Dynamic","FRE 9MG Mixpack"
"CLEW-6mixpack","Bundle","Nicotine Pouches, Synthetic","CLEW 6mg Mixpack","CLEW 6mg Mixpack","CLEW","Nevcore Innovations Inc.","Novanic Labs Private Limited","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.35","Mixed","Wintergreen,Spearmint,Mint,Citrus,Blueberry","No","Yes","No","Synthetic Nicotine","12.0","6.0","","","","","","","Try 5 different CLEW pouches in this Regular strength (6mg) mixpack featuring a can of each flavor: Spearmint, Wintergreen, Cool Mint, Citrus, and Blueberry.","<h2>Discover the CLEW 6mg Mixpack</h2><p>New to CLEW or just prefer a variety of nicotine pouches at your fingertips?</p><p>Now you can sample their entire range of 5 flavors in one easy order (excluding CLEW’s unflavored Original option). Every can has 20 moist pouches inside, and each pouch contains 6mg of tobacco leaf-free nicotine.</p><p>Adult nicotine consumers who are fans of mint and fruit will appreciate CLEW’s lineup. Keep in mind this mixpack is also available in 3mg, 9mg, or 12mg strengths if you’re looking for a different level of intensity.</p><h3>This mixpack contains:</h3><ul><li>1 x Spearmint 6mg</li><li>1 x Wintergreen 6mg</li><li>1 x Cool Mint 6mg</li><li>1 x Citrus 6mg</li><li>1 x Blueberry 6mg</li></ul><h2>About CLEW</h2><p><a href=""https://www.northerner.com/us/clew"">CLEW</a> is brought to you by Nevcore Innovations Inc. and intended for adult nicotine consumers over the age of 21 who want smokeless alternatives made from high quality ingredients. Available in an assortment of tobacco leaf-free flavors and strengths (from 3mg-12mg), CLEW caters to a wide range of preferences and is known for their ultra-smooth pouch design.</p>","","Normal","","Pack","","No","Yes","","","Northerner US,Nicokick US","2","6.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/f2/76/ba/69/69ba76f2839daadccb18b69b/CLEW-6mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/f2/76/ba/69/69ba76f2839daadccb18b69b/CLEW-6mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/f2/76/ba/69/69ba76f2839daadccb18b69b/CLEW-6mg-mixpack-01.png?s=1200x","","","","","CLEW-W6MG#1, CLEW-S6MG#1, CLEW-CM6MG#1, CLEW-C6MG#1, CLEW-B6MG#1","Dynamic","CLEW 6mg Mixpack"
"CLEW-9mixpack","Bundle","Nicotine Pouches, Synthetic","CLEW 9mg Mixpack","CLEW 9mg Mixpack","CLEW","Nevcore Innovations Inc.","Novanic Labs Private Limited","All White Portion","All White Portion","Slim","20","","10.0","0.50","","0.35","Mixed","Wintergreen,Spearmint,Mint,Citrus,Blueberry","No","Yes","No","Synthetic Nicotine","18.0","9.0","","","","","","","Try 5 different CLEW pouches in this Strong (9mg) mixpack featuring a can of each flavor: Spearmint, Wintergreen, Cool Mint, Citrus, and Blueberry.","<h2>Discover the CLEW 9mg Mixpack</h2><p>New to CLEW or just prefer a variety of nicotine pouches at your fingertips?</p><p>Now you can sample their entire range of 5 flavors in one easy order (excluding CLEW’s unflavored Original option). Every can has 20 moist pouches inside, and each pouch contains 9mg of tobacco leaf-free nicotine.</p><p>Adult nicotine consumers who are fans of mint and fruit will appreciate CLEW’s lineup. Keep in mind this mixpack is also available in 3mg, 6mg, or 12mg strengths if you’re looking for a different level of intensity.</p><h3>This mixpack contains:</h3><ul><li>1 x Spearmint 9mg</li><li>1 x Wintergreen 9mg</li><li>1 x Cool Mint 9mg</li><li>1 x Citrus 9mg</li><li>1 x Blueberry 9mg</li></ul><h2>About CLEW</h2><p><a href=""https://www.northerner.com/us/clew"">CLEW</a> is brought to you by Nevcore Innovations Inc. and intended for adult nicotine consumers over the age of 21 who want smokeless alternatives made from high quality ingredients. Available in an assortment of tobacco leaf-free flavors and strengths (from 3mg-12mg), CLEW caters to a wide range of preferences and is known for their ultra-smooth pouch design.</p>","","Strong","","Pack","","No","Yes","","","Northerner US,Nicokick US","3","9.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/0c/77/ba/69/69ba770c6ff6c860d268274b/CLEW-9mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/0c/77/ba/69/69ba770c6ff6c860d268274b/CLEW-9mg-mixpack-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/0c/77/ba/69/69ba770c6ff6c860d268274b/CLEW-9mg-mixpack-01.png?s=1200x","","","","","CLEW-W9MG#1, CLEW-S9MG#1, CLEW-CM9MG#1, CLEW-C9MG#1, CLEW-B9MG#1","Dynamic","CLEW 9mg Mixpack"
"grizzlymix-12mg","Bundle","Nicotine Pouches, Synthetic","Grizzly Mixpack 12MG","Grizzly Mixpack 12MG","Grizzly","American Snuff Co","R.J. Reynolds","All White Portion","All White Portion","Slim","20","","10.6","0.53","","0.375","Mixed","Watermelon,Mint,Wintergreen","No","Yes","No","Synthetic Nicotine","22.6","12.0","","","","","","","<p>Now you can enjoy Grizzly’s Mint, Wintergreen, and Southern flavors all in the same 12mg mixpack. Each can contains 20 pouches.</p>","<h2>What's Included:</h2><ul><li>1 can x <strong>Grizzly Mint</strong></li><li>1 can x <strong>Grizzly Wintergreen</strong></li><li>1 can x <strong>Grizzly Southern</strong></li></ul><p>These pouches are considered Extra Strong since they contain 12mg of tobacco-free nicotine. A 9mg Grizzly Mixpack is also available.</p>","","Extra Strong","","Pack","","No","Yes","","","Northerner US,Nicokick US","4","12.0 mg/pouch","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/61/74/ba/69/69ba74614bc2191b73fe7a1a/grizzlymix-12mg-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/61/74/ba/69/69ba74614bc2191b73fe7a1a/grizzlymix-12mg-01.png?s=1200x","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/a9/d9/19/63/6319d9a9f060d100017561d5/images/61/74/ba/69/69ba74614bc2191b73fe7a1a/grizzlymix-12mg-01.png?s=1200x","","","","","KSD-295485#1, KSD-295477#1, KSD-295451#1","Dynamic","Grizzly Mixpack 12MG"
